Id,Start time,Completion time,Email,Name,"Participant Information

You are invited to take part in an MSc Computing research project investigating a browser-based Virtual Fit Assistant for clothing size selection. 

If you choose to participa",I confirm that I am aged 18 or over.,Have you bought clothing online before?,How often do you buy clothing online?,Please answer the question below based on your experience buying online..I sometimes feel uncertain when choosing clothing sizes online,What T-shirt size do you usually wear?,"Based only on the Study Reference T-Shirt Size Chart, which size would you choose?",Please answer the questions below based on your earlier experience using the chart.The size chart was easy to understand.,Please answer the questions below based on your earlier experience using the chart.I felt confident choosing a size using the size chart.,Please answer the questions below based on your earlier experience using the chart.The size chart gave me enough information to make a size decision.,Please answer the questions below based on your earlier experience using the chart.I found it difficult to decide which size to choose using only the size chart.,What T-shirt size did the Virtual Fit Assistant recommend?,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.The Virtual Fit Assistant was easy to use.,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.The instructions provided by the Virtual Fit Assistant were clear,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.The size recommendation was easy to understand.,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.The Virtual Fit Assistant helped me feel more confident about choosing a T-shirt size.,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.The Virtual Fit Assistant provided useful support for T-shirt size selection.,Please answer the questions below based on your earlier experiences using the Virtual Fit Assistant.I understood that the recommendation was intended as guidance rather than a guaranteed exact fit.,Please answer the questions/statements below..I felt comfortable using a webcam-based fitting assistant.,Please answer the questions/statements below..I felt more comfortable knowing that the webcam processing was performed locally in the browser.,Please answer the questions/statements below..I felt more comfortable knowing that no images or videos were uploaded or stored.,Please answer the questions/statements below..I would be more likely to use this type of system if it clearly explained how privacy is protected.,Please answer the questions/statements below..The explanation that the system uses body landmarks rather than storing body images increased my trust in the system.,"Please compare your experience of using the traditional T-shirt size chart with your experience of using the Virtual Fit Assistant..Compared with the traditional size chart, the Virtual Fit Assistant ","Please compare your experience of using the traditional T-shirt size chart with your experience of using the Virtual Fit Assistant..Compared with the traditional size chart, the Virtual Fit Assistant 1",Please compare your experience of using the traditional T-shirt size chart with your experience of using the Virtual Fit Assistant..I would prefer to use the Virtual Fit Assistant rather than only a t,Please compare your experience of using the traditional T-shirt size chart with your experience of using the Virtual Fit Assistant..I think the Virtual Fit Assistant would be useful in an online cloth,What did you like about the Virtual Fit Assistant?,"What did you find unclear, difficult, or uncomfortable?",Do you have any concerns about using a webcam-based fitting assistant?,What could be improved in the prototype?,Any additional comments?
6,8/12/2026 18:13,8/12/2026 18:27,anonymous,,Yes,Yes,Yes,Often,Agree,S,XS,Agree,Agree,Agree,Neutral,M,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,can measure my size ,nothing,no,,
7,8/12/2026 21:04,8/12/2026 21:05,anonymous,,Yes,Yes,Yes,Often,Agree,It varies considerably between brands,XL,Agree,Disagree,Neutral,Agree,XL,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
8,8/14/2026 8:26,8/14/2026 8:39,anonymous,,Yes,Yes,Yes,Often,Agree,S,S,Disagree,Disagree,Neutral,Agree,S,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Pretty straightforward to use.,The instructions could be shorter. ,No.,Not sure. Seems fine to me. ,Dom :)
9,8/14/2026 18:36,8/14/2026 18:45,anonymous,,Yes,Yes,No,Rarely,Agree,Unsure,M,Neutral,Neutral,Neutral,Agree,M,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Simplicity. Size charts vary from store to store and brand,Only working out camera distance on phone,No,,It works nicely  I would never buy clothes online due to this issue of size. It gives confidence to purchase. 
10,8/15/2026 11:30,8/15/2026 11:37,anonymous,,Yes,Yes,Yes,Rarely,Strongly Agree,It varies considerably between brands,Unsure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,M,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Ease of use. No hassle.,Nothing really.,"Not really, as long as no images are saved.",maybe the design,Medved
11,8/15/2026 13:02,8/15/2026 13:14,anonymous,,Yes,Yes,Yes,Sometimes,Disagree,M,M,Agree,Agree,Agree,Disagree,M,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,,,,,
12,8/17/2026 7:03,8/17/2026 7:12,anonymous,,Yes,Yes,Yes,Rarely,Neutral,M,M,Agree,Agree,Agree,Neutral,M,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,,,,
13,8/17/2026 10:26,8/17/2026 10:30,anonymous,,Yes,Yes,Yes,Very often,Agree,It varies considerably between brands,Unsure,Agree,Disagree,Neutral,Strongly Agree,S,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Ease of use, no need to take out my measurement tape etc.",None.,,,
14,8/17/2026 13:50,8/17/2026 13:53,anonymous,,Yes,Yes,Yes,Often,Strongly Agree,M,Unsure,Neutral,Disagree,Disagree,Strongly Agree,M,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
15,8/18/2026 22:09,8/18/2026 22:16,anonymous,,Yes,Yes,Yes,Very often,Strongly Agree,L,Unsure,Neutral,Disagree,Neutral,Strongly Agree,L,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Interactive and helpful,Nothing,No,Maybe the horizontal guide lines on the camera could be more visible,None :)
16,8/18/2026 22:24,8/18/2026 22:33,anonymous,,Yes,Yes,Yes,Often,Strongly Agree,It varies considerably between brands,S,Agree,Disagree,Disagree,Strongly Agree,M,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It is helpful to have a way to help determine my size without having to think of any measurements etc.,Nothing really,"Privacy, how my data is processed",Can't think of any,I like it
17,8/18/2026 22:33,8/18/2026 23:31,anonymous,,Yes,Yes,Yes,Sometimes,Strongly Agree,L,L,Agree,Neutral,Disagree,Agree,L,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Simple and convenient,None,,,
18,8/19/2026 11:59,8/19/2026 12:04,anonymous,,Yes,Yes,Yes,Often,Strongly Agree,L,L,Neutral,Neutral,Neutral,Agree,L,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Ease of use,Nothing,"No, not really, knowing no data is being sent to a remote server.",I think it's fine as it is.,
19,8/19/2026 18:44,8/19/2026 18:47,anonymous,,Yes,Yes,Yes,Very often,Agree,L,L,Agree,Agree,Agree,Disagree,L,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Simplicity,?,No,?,
